THE SEED IS: 7

OVERALL JOB STATS -
JobId=0 ArrivalTime=40.0 StartTime=40.0 EndTime=40.12500000000003 NumIters=10
IterStartTime=40.0 IterEndTime=40.0125 LossValue=0.392837895627038
IterStartTime=40.0125 IterEndTime=40.025000000000006 LossValue=0.17246847777929983
IterStartTime=40.025000000000006 IterEndTime=40.03750000000001 LossValue=0.08950794273571704
IterStartTime=40.03750000000001 IterEndTime=40.05000000000001 LossValue=0.05138053991887859
IterStartTime=40.05000000000001 IterEndTime=40.062500000000014 LossValue=0.03106338908881701
IterStartTime=40.062500000000014 IterEndTime=40.07500000000002 LossValue=0.019045627040073457
IterStartTime=40.07500000000002 IterEndTime=40.08750000000002 LossValue=0.011376169804105305
IterStartTime=40.08750000000002 IterEndTime=40.10000000000002 LossValue=0.006193231297990293
IterStartTime=40.10000000000002 IterEndTime=40.112500000000026 LossValue=0.0025310490102980806
IterStartTime=40.112500000000026 IterEndTime=40.12500000000003 LossValue=-1.5034667010496022E-4
JobId=1 ArrivalTime=55.0 StartTime=55.0 EndTime=55.22499999999999 NumIters=9
IterStartTime=55.0 IterEndTime=55.025 LossValue=0.34829257496245536
IterStartTime=55.025 IterEndTime=55.05 LossValue=0.12129655528436298
IterStartTime=55.05 IterEndTime=55.074999999999996 LossValue=0.04223163908100926
IterStartTime=55.074999999999996 IterEndTime=55.099999999999994 LossValue=0.014692561598027915
IterStartTime=55.099999999999994 IterEndTime=55.12499999999999 LossValue=0.005100433698175909
IterStartTime=55.12499999999999 IterEndTime=55.14999999999999 LossValue=0.0017594024779406204
IterStartTime=55.14999999999999 IterEndTime=55.17499999999999 LossValue=5.956888858023087E-4
IterStartTime=55.17499999999999 IterEndTime=55.19999999999999 LossValue=1.9035615011117607E-4
IterStartTime=55.19999999999999 IterEndTime=55.22499999999999 LossValue=4.917482531375069E-5
JobId=2 ArrivalTime=51.0 StartTime=51.0 EndTime=51.47407407407405 NumIters=10
IterStartTime=51.0 IterEndTime=51.05 LossValue=0.37499268559754856
IterStartTime=51.05 IterEndTime=51.099999999999994 LossValue=0.15646945738421694
IterStartTime=51.099999999999994 IterEndTime=51.14999999999999 LossValue=0.07903752152707602
IterStartTime=51.14999999999999 IterEndTime=51.19999999999999 LossValue=0.04467920527810906
IterStartTime=51.19999999999999 IterEndTime=51.249999999999986 LossValue=0.026758858286608938
IterStartTime=51.249999999999986 IterEndTime=51.29999999999998 LossValue=0.016308107148167546
IterStartTime=51.29999999999998 IterEndTime=51.34999999999998 LossValue=0.009705055098392167
IterStartTime=51.34999999999998 IterEndTime=51.39999999999998 LossValue=0.005275700272004162
IterStartTime=51.39999999999998 IterEndTime=51.437037037037015 LossValue=0.0021637468330605106
IterStartTime=51.437037037037015 IterEndTime=51.47407407407405 LossValue=-1.0454022894983844E-4
JobId=3 ArrivalTime=45.0 StartTime=45.0 EndTime=45.49999999999997 NumIters=10
IterStartTime=45.0 IterEndTime=45.05 LossValue=0.664131602690502
IterStartTime=45.05 IterEndTime=45.099999999999994 LossValue=0.3538577779928342
IterStartTime=45.099999999999994 IterEndTime=45.14999999999999 LossValue=0.19461544841031483
IterStartTime=45.14999999999999 IterEndTime=45.19999999999999 LossValue=0.11363317339171038
IterStartTime=45.19999999999999 IterEndTime=45.249999999999986 LossValue=0.06891389467786932
IterStartTime=45.249999999999986 IterEndTime=45.29999999999998 LossValue=0.04213244109260329
IterStartTime=45.29999999999998 IterEndTime=45.34999999999998 LossValue=0.02498633403531662
IterStartTime=45.34999999999998 IterEndTime=45.39999999999998 LossValue=0.013406836600507403
IterStartTime=45.39999999999998 IterEndTime=45.449999999999974 LossValue=0.005243774420642933
IterStartTime=45.449999999999974 IterEndTime=45.49999999999997 LossValue=-7.154748823027454E-4
JobId=4 ArrivalTime=33.0 StartTime=33.0 EndTime=33.12500000000003 NumIters=10
IterStartTime=33.0 IterEndTime=33.0125 LossValue=0.5087437312623323
IterStartTime=33.0125 IterEndTime=33.025000000000006 LossValue=0.20790767224765538
IterStartTime=33.025000000000006 IterEndTime=33.03750000000001 LossValue=0.10086754108260115
IterStartTime=33.03750000000001 IterEndTime=33.05000000000001 LossValue=0.05537244025006396
IterStartTime=33.05000000000001 IterEndTime=33.062500000000014 LossValue=0.03249359684908859
