THE SEED IS: 7

OVERALL JOB STATS -
JobId=0 ArrivalTime=54.72228669512229 StartTime=54.72228669512229 EndTime=54.84728669512232 NumIters=10
IterStartTime=54.72228669512229 IterEndTime=54.734786695122295 LossValue=0.392837895627038
IterStartTime=54.734786695122295 IterEndTime=54.7472866951223 LossValue=0.17246847777929983
IterStartTime=54.7472866951223 IterEndTime=54.7597866951223 LossValue=0.08950794273571704
IterStartTime=54.7597866951223 IterEndTime=54.772286695122304 LossValue=0.05138053991887859
IterStartTime=54.772286695122304 IterEndTime=54.78478669512231 LossValue=0.03106338908881701
IterStartTime=54.78478669512231 IterEndTime=54.79728669512231 LossValue=0.019045627040073457
IterStartTime=54.79728669512231 IterEndTime=54.80978669512231 LossValue=0.011376169804105305
IterStartTime=54.80978669512231 IterEndTime=54.822286695122315 LossValue=0.006193231297990293
IterStartTime=54.822286695122315 IterEndTime=54.83478669512232 LossValue=0.0025310490102980806
IterStartTime=54.83478669512232 IterEndTime=54.84728669512232 LossValue=-1.5034667010496022E-4
JobId=1 ArrivalTime=49.72436122993727 StartTime=49.72436122993727 EndTime=49.8493612299373 NumIters=10
IterStartTime=49.72436122993727 IterEndTime=49.736861229937276 LossValue=0.42695937500983316
IterStartTime=49.736861229937276 IterEndTime=49.74936122993728 LossValue=0.21723964418135644
IterStartTime=49.74936122993728 IterEndTime=49.76186122993728 LossValue=0.12413680669666236
IterStartTime=49.76186122993728 IterEndTime=49.774361229937284 LossValue=0.07579271677623803
IterStartTime=49.774361229937284 IterEndTime=49.78686122993729 LossValue=0.04773352326921055
IterStartTime=49.78686122993729 IterEndTime=49.79936122993729 LossValue=0.030079573929801165
IterStartTime=49.79936122993729 IterEndTime=49.81186122993729 LossValue=0.01827952415300043
IterStartTime=49.81186122993729 IterEndTime=49.824361229937296 LossValue=0.010014083238448157
IterStartTime=49.824361229937296 IterEndTime=49.8368612299373 LossValue=0.004004823834167757
IterStartTime=49.8368612299373 IterEndTime=49.8493612299373 LossValue=-4.984112461055672E-4
JobId=2 ArrivalTime=42.93755428204701 StartTime=42.93755428204701 EndTime=43.06255428204704 NumIters=10
IterStartTime=42.93755428204701 IterEndTime=42.95005428204701 LossValue=0.6986153439631856
IterStartTime=42.95005428204701 IterEndTime=42.962554282047016 LossValue=0.48518161485349676
IterStartTime=42.962554282047016 IterEndTime=42.97505428204702 LossValue=0.3340327231988945
IterStartTime=42.97505428204702 IterEndTime=42.98755428204702 LossValue=0.22699253070582515
IterStartTime=42.98755428204702 IterEndTime=43.000054282047024 LossValue=0.15118911141820204
IterStartTime=43.000054282047024 IterEndTime=43.01255428204703 LossValue=0.09750686139733025
IterStartTime=43.01255428204703 IterEndTime=43.02505428204703 LossValue=0.059490318154485855
IterStartTime=43.02505428204703 IterEndTime=43.03755428204703 LossValue=0.03256787061226961
IterStartTime=43.03755428204703 IterEndTime=43.050054282047036 LossValue=0.01350200823142799
IterStartTime=43.050054282047036 IterEndTime=43.06255428204704 LossValue=6.938893903907228E-18
JobId=3 ArrivalTime=32.72246024791764 StartTime=32.72246024791764 EndTime=32.834960247917664 NumIters=9
IterStartTime=32.72246024791764 IterEndTime=32.73496024791764 LossValue=0.3518958968714912
IterStartTime=32.73496024791764 IterEndTime=32.747460247917644 LossValue=0.12381848552736284
IterStartTime=32.747460247917644 IterEndTime=32.75996024791765 LossValue=0.04355467402804867
