THE SEED IS: 7

OVERALL JOB STATS -
JobId=0 ArrivalTime=40.0 StartTime=40.0 EndTime=42.000000000000014 NumIters=10
IterStartTime=40.0 IterEndTime=40.2 LossValue=0.392837895627038
IterStartTime=40.2 IterEndTime=40.400000000000006 LossValue=0.17246847777929983
IterStartTime=40.400000000000006 IterEndTime=40.60000000000001 LossValue=0.08950794273571704
IterStartTime=40.60000000000001 IterEndTime=40.80000000000001 LossValue=0.05138053991887859
IterStartTime=40.80000000000001 IterEndTime=41.000000000000014 LossValue=0.03106338908881701
IterStartTime=41.0 IterEndTime=41.2 LossValue=0.019045627040073457
IterStartTime=41.2 IterEndTime=41.400000000000006 LossValue=0.011376169804105305
IterStartTime=41.400000000000006 IterEndTime=41.60000000000001 LossValue=0.006193231297990293
IterStartTime=41.60000000000001 IterEndTime=41.80000000000001 LossValue=0.0025310490102980806
IterStartTime=41.80000000000001 IterEndTime=42.000000000000014 LossValue=-1.5034667010496022E-4
JobId=1 ArrivalTime=55.0 StartTime=55.0 EndTime=55.18151873431049 NumIters=5
IterStartTime=55.0 IterEndTime=55.03030303030303 LossValue=0.12073605081176121
IterStartTime=55.04255319148936 IterEndTime=55.07112462006079 LossValue=0.014577193456748577
IterStartTime=55.07112462006079 IterEndTime=55.099696048632225 LossValue=0.0017599921995761162
IterStartTime=55.10921985815604 IterEndTime=55.13699763593382 LossValue=2.1249392990765228E-4
IterStartTime=55.1552029448368 IterEndTime=55.18151873431049 LossValue=2.5655099294237692E-5
JobId=2 ArrivalTime=51.0 StartTime=51.0 EndTime=51.58823529411768 NumIters=10
IterStartTime=51.0 IterEndTime=51.05882352941177 LossValue=0.41151447516802464
IterStartTime=51.05882352941177 IterEndTime=51.117647058823536 LossValue=0.1766389905132784
IterStartTime=51.117647058823536 IterEndTime=51.176470588235304 LossValue=0.09000028841540059
IterStartTime=51.176470588235304 IterEndTime=51.23529411764707 LossValue=0.05103867530475337
IterStartTime=51.23529411764707 IterEndTime=51.29411764705884 LossValue=0.03060585821084401
IterStartTime=51.29411764705884 IterEndTime=51.35294117647061 LossValue=0.018659342837207674
IterStartTime=51.35294117647061 IterEndTime=51.411764705882376 LossValue=0.011101415619309494
IterStartTime=51.411764705882376 IterEndTime=51.470588235294144 LossValue=0.006028036538030036
IterStartTime=51.470588235294144 IterEndTime=51.52941176470591 LossValue=0.002462297569130344
IterStartTime=51.52941176470591 IterEndTime=51.58823529411768 LossValue=-1.372439424642182E-4
JobId=3 ArrivalTime=45.0 StartTime=45.0 EndTime=45.35031993358113 NumIters=10
IterStartTime=45.0 IterEndTime=45.03703703703704 LossValue=0.6292366222405478
IterStartTime=45.03703703703704 IterEndTime=45.074074074074076 LossValue=0.3654605706803653
IterStartTime=45.093576965669996 IterEndTime=45.12805972429069 LossValue=0.21791127228578777
IterStartTime=45.12805972429069 IterEndTime=45.16254248291138 LossValue=0.13462934517718847
IterStartTime=45.16674769737731 IterEndTime=45.19900576189344 LossValue=0.0848018937964051
IterStartTime=45.2 IterEndTime=45.230303030303034 LossValue=0.053153580805072605
IterStartTime=45.24505677568639 IterEndTime=45.27137256516008 LossValue=0.03198502897765398
IterStartTime=45.27137256516008 IterEndTime=45.29768835463376 LossValue=0.017203314132621036
IterStartTime=45.29768835463376 IterEndTime=45.32400414410745 LossValue=0.0065067074556229496
IterStartTime=45.32400414410745 IterEndTime=45.35031993358113 LossValue=-0.0014673258155811567
JobId=4 ArrivalTime=33.0 StartTime=33.0 EndTime=33.909090909090935 NumIters=10
IterStartTime=33.0 IterEndTime=33.09090909090909 LossValue=0.5473789244364153
IterStartTime=33.09090909090909 IterEndTime=33.18181818181819 LossValue=0.3308587562494347
IterStartTime=33.18181818181819 IterEndTime=33.27272727272728 LossValue=0.21165396256576058
IterStartTime=33.27272727272728 IterEndTime=33.363636363636374 LossValue=0.1393437959900356
IterStartTime=33.363636363636374 IterEndTime=33.45454545454547 LossValue=0.09228210972092844
IterStartTime=33.45454545454547 IterEndTime=33.54545454545456 LossValue=0.05997847166376892
IterStartTime=33.54545454545456 IterEndTime=33.636363636363654 LossValue=0.036863076087814056
IterStartTime=33.636363636363654 IterEndTime=33.72727272727275 LossValue=0.01976110627443778
IterStartTime=33.72727272727275 IterEndTime=33.81818181818184 LossValue=0.006757254829718853
IterStartTime=33.81818181818184 IterEndTime=33.909090909090935 LossValue=-0.003358777527842402
JobId=5 ArrivalTime=48.0 StartTime=48.0 EndTime=49.42857142857142 NumIters=10
IterStartTime=48.0 IterEndTime=48.142857142857146 LossValue=0.4082135532379803
IterStartTime=48.142857142857146 IterEndTime=48.28571428571429 LossValue=0.19876747387792096
IterStartTime=48.28571428571429 IterEndTime=48.42857142857144 LossValue=0.11037450538964397
IterStartTime=48.42857142857144 IterEndTime=48.571428571428584 LossValue=0.06614208093001542
IterStartTime=48.571428571428584 IterEndTime=48.71428571428573 LossValue=0.04113741619934774
IterStartTime=48.71428571428573 IterEndTime=48.857142857142875 LossValue=0.025707315670501465
IterStartTime=48.857142857142875 IterEndTime=49.00000000000002 LossValue=0.01554461996292968
IterStartTime=49.0 IterEndTime=49.142857142857146 LossValue=0.008507784131012691
