THE SEED IS: 7

OVERALL JOB STATS -
JobId=0 ArrivalTime=40.0 StartTime=40.0 EndTime=40.12500000000003 NumIters=10
IterStartTime=40.0 IterEndTime=40.0125 LossValue=0.392837895627038
IterStartTime=40.0125 IterEndTime=40.025000000000006 LossValue=0.17246847777929983
IterStartTime=40.025000000000006 IterEndTime=40.03750000000001 LossValue=0.08950794273571704
IterStartTime=40.03750000000001 IterEndTime=40.05000000000001 LossValue=0.05138053991887859
IterStartTime=40.05000000000001 IterEndTime=40.062500000000014 LossValue=0.03106338908881701
IterStartTime=40.062500000000014 IterEndTime=40.07500000000002 LossValue=0.019045627040073457
IterStartTime=40.07500000000002 IterEndTime=40.08750000000002 LossValue=0.011376169804105305
IterStartTime=40.08750000000002 IterEndTime=40.10000000000002 LossValue=0.006193231297990293
IterStartTime=40.10000000000002 IterEndTime=40.112500000000026 LossValue=0.0025310490102980806
IterStartTime=40.112500000000026 IterEndTime=40.12500000000003 LossValue=-1.5034667010496022E-4
JobId=1 ArrivalTime=55.0 StartTime=56.0 EndTime=59.0 NumIters=9
IterStartTime=56.0 IterEndTime=56.25 LossValue=0.34829257496245536
IterStartTime=56.25 IterEndTime=56.5 LossValue=0.12129655528436298
IterStartTime=56.5 IterEndTime=56.75 LossValue=0.04223163908100926
IterStartTime=56.75 IterEndTime=57.0 LossValue=0.014692561598027915
IterStartTime=57.0 IterEndTime=57.25 LossValue=0.005100433698175909
IterStartTime=57.25 IterEndTime=57.5 LossValue=0.0017594024779406204
IterStartTime=57.5 IterEndTime=57.75 LossValue=5.956888858023087E-4
IterStartTime=57.75 IterEndTime=58.0 LossValue=1.9035615011117607E-4
IterStartTime=58.0 IterEndTime=59.0 LossValue=4.917482531375069E-5
JobId=2 ArrivalTime=51.0 StartTime=52.0 EndTime=52.208333333333336 NumIters=10
IterStartTime=52.0 IterEndTime=52.020833333333336 LossValue=0.37499268559754856
IterStartTime=52.020833333333336 IterEndTime=52.04166666666667 LossValue=0.15646945738421694
IterStartTime=52.04166666666667 IterEndTime=52.06250000000001 LossValue=0.07903752152707602
IterStartTime=52.06250000000001 IterEndTime=52.08333333333334 LossValue=0.04467920527810906
IterStartTime=52.08333333333334 IterEndTime=52.10416666666668 LossValue=0.026758858286608938
IterStartTime=52.10416666666668 IterEndTime=52.125000000000014 LossValue=0.016308107148167546
IterStartTime=52.125 IterEndTime=52.145833333333336 LossValue=0.009705055098392167
IterStartTime=52.145833333333336 IterEndTime=52.16666666666667 LossValue=0.005275700272004162
IterStartTime=52.166666666666664 IterEndTime=52.1875 LossValue=0.0021637468330605106
IterStartTime=52.1875 IterEndTime=52.208333333333336 LossValue=-1.0454022894983844E-4
JobId=3 ArrivalTime=45.0 StartTime=46.0 EndTime=47.666666666666664 NumIters=10
IterStartTime=46.0 IterEndTime=46.166666666666664 LossValue=0.664131602690502
IterStartTime=46.166666666666664 IterEndTime=46.33333333333333 LossValue=0.3538577779928342
IterStartTime=46.33333333333333 IterEndTime=46.49999999999999 LossValue=0.19461544841031483
IterStartTime=46.5 IterEndTime=46.666666666666664 LossValue=0.11363317339171038
IterStartTime=46.666666666666664 IterEndTime=46.83333333333333 LossValue=0.06891389467786932
IterStartTime=46.83333333333333 IterEndTime=46.99999999999999 LossValue=0.04213244109260329
IterStartTime=47.0 IterEndTime=47.166666666666664 LossValue=0.02498633403531662
IterStartTime=47.166666666666664 IterEndTime=47.33333333333333 LossValue=0.013406836600507403
IterStartTime=47.33333333333333 IterEndTime=47.49999999999999 LossValue=0.005243774420642933
IterStartTime=47.5 IterEndTime=47.666666666666664 LossValue=-7.154748823027454E-4
JobId=4 ArrivalTime=33.0 StartTime=34.0 EndTime=34.12500000000003 NumIters=10
IterStartTime=34.0 IterEndTime=34.0125 LossValue=0.5087437312623323
IterStartTime=34.0125 IterEndTime=34.025000000000006 LossValue=0.20790767224765538
IterStartTime=34.025000000000006 IterEndTime=34.03750000000001 LossValue=0.10086754108260115
IterStartTime=34.03750000000001 IterEndTime=34.05000000000001 LossValue=0.05537244025006396
IterStartTime=34.05000000000001 IterEndTime=34.062500000000014 LossValue=0.03249359684908859
IterStartTime=34.062500000000014 IterEndTime=34.07500000000002 LossValue=0.01951571108654794
