THE SEED IS: 7

OVERALL JOB STATS -
JobId=0 ArrivalTime=54.72228669512229 StartTime=56.0 EndTime=56.12500000000003 NumIters=10
IterStartTime=56.0 IterEndTime=56.0125 LossValue=0.392837895627038
IterStartTime=56.0125 IterEndTime=56.025000000000006 LossValue=0.17246847777929983
IterStartTime=56.025000000000006 IterEndTime=56.03750000000001 LossValue=0.08950794273571704
IterStartTime=56.03750000000001 IterEndTime=56.05000000000001 LossValue=0.05138053991887859
IterStartTime=56.05000000000001 IterEndTime=56.062500000000014 LossValue=0.03106338908881701
IterStartTime=56.062500000000014 IterEndTime=56.07500000000002 LossValue=0.019045627040073457
IterStartTime=56.07500000000002 IterEndTime=56.08750000000002 LossValue=0.011376169804105305
IterStartTime=56.08750000000002 IterEndTime=56.10000000000002 LossValue=0.006193231297990293
IterStartTime=56.10000000000002 IterEndTime=56.112500000000026 LossValue=0.0025310490102980806
IterStartTime=56.112500000000026 IterEndTime=56.12500000000003 LossValue=-1.5034667010496022E-4
JobId=1 ArrivalTime=49.72436122993727 StartTime=50.0 EndTime=50.12500000000003 NumIters=10
IterStartTime=50.0 IterEndTime=50.0125 LossValue=0.42695937500983316
IterStartTime=50.0125 IterEndTime=50.025000000000006 LossValue=0.21723964418135644
IterStartTime=50.025000000000006 IterEndTime=50.03750000000001 LossValue=0.12413680669666236
IterStartTime=50.03750000000001 IterEndTime=50.05000000000001 LossValue=0.07579271677623803
IterStartTime=50.05000000000001 IterEndTime=50.062500000000014 LossValue=0.04773352326921055
IterStartTime=50.062500000000014 IterEndTime=50.07500000000002 LossValue=0.030079573929801165
IterStartTime=50.07500000000002 IterEndTime=50.08750000000002 LossValue=0.01827952415300043
IterStartTime=50.08750000000002 IterEndTime=50.10000000000002 LossValue=0.010014083238448157
IterStartTime=50.10000000000002 IterEndTime=50.112500000000026 LossValue=0.004004823834167757
IterStartTime=50.112500000000026 IterEndTime=50.12500000000003 LossValue=-4.984112461055672E-4
JobId=2 ArrivalTime=42.93755428204701 StartTime=44.0 EndTime=44.12500000000003 NumIters=10
IterStartTime=44.0 IterEndTime=44.0125 LossValue=0.6986153439631856
IterStartTime=44.0125 IterEndTime=44.025000000000006 LossValue=0.48518161485349676
IterStartTime=44.025000000000006 IterEndTime=44.03750000000001 LossValue=0.3340327231988945
IterStartTime=44.03750000000001 IterEndTime=44.05000000000001 LossValue=0.22699253070582515
IterStartTime=44.05000000000001 IterEndTime=44.062500000000014 LossValue=0.15118911141820204
IterStartTime=44.062500000000014 IterEndTime=44.07500000000002 LossValue=0.09750686139733025
IterStartTime=44.07500000000002 IterEndTime=44.08750000000002 LossValue=0.059490318154485855
IterStartTime=44.08750000000002 IterEndTime=44.10000000000002 LossValue=0.03256787061226961
IterStartTime=44.10000000000002 IterEndTime=44.112500000000026 LossValue=0.01350200823142799
IterStartTime=44.112500000000026 IterEndTime=44.12500000000003 LossValue=6.938893903907228E-18
JobId=3 ArrivalTime=32.72246024791764 StartTime=34.0 EndTime=35.28571428571431 NumIters=9
IterStartTime=34.0 IterEndTime=34.142857142857146 LossValue=0.3518958968714912
IterStartTime=34.142857142857146 IterEndTime=34.28571428571429 LossValue=0.12381848552736284
IterStartTime=34.28571428571429 IterEndTime=34.42857142857144 LossValue=0.04355467402804867
IterStartTime=34.42857142857144 IterEndTime=34.571428571428584 LossValue=0.015308652651222427
IterStartTime=34.571428571428584 IterEndTime=34.71428571428573 LossValue=0.00536846031900379
IterStartTime=34.71428571428573 IterEndTime=34.857142857142875 LossValue=0.0018703597446495448
IterStartTime=34.857142857142875 IterEndTime=35.00000000000002 LossValue=6.393264588412525E-4
IterStartTime=35.00000000000002 IterEndTime=35.14285714285717 LossValue=2.0610765379082491E-4
IterStartTime=35.14285714285717 IterEndTime=35.28571428571431 LossValue=5.365155433930498E-5
JobId=4 ArrivalTime=41.78141878470583 StartTime=42.0 EndTime=42.062500000000014 NumIters=5
IterStartTime=42.0 IterEndTime=42.0125 LossValue=0.12073605081176121
IterStartTime=42.0125 IterEndTime=42.025000000000006 LossValue=0.014577193456748577
IterStartTime=42.025000000000006 IterEndTime=42.03750000000001 LossValue=0.0017599921995761162
IterStartTime=42.03750000000001 IterEndTime=42.05000000000001 LossValue=2.1249392990765228E-4
IterStartTime=42.05000000000001 IterEndTime=42.062500000000014 LossValue=2.5655099294237692E-5
JobId=5 ArrivalTime=8.133873060755226 StartTime=10.0 EndTime=10.124999999999993 NumIters=10
IterStartTime=10.0 IterEndTime=10.0125 LossValue=0.5087437312623323
IterStartTime=10.0125 IterEndTime=10.024999999999999 LossValue=0.20790767224765538
IterStartTime=10.024999999999999 IterEndTime=10.037499999999998 LossValue=0.10086754108260115
IterStartTime=10.037499999999998 IterEndTime=10.049999999999997 LossValue=0.05537244025006396
IterStartTime=10.049999999999997 IterEndTime=10.062499999999996 LossValue=0.03249359684908859
IterStartTime=10.062499999999996 IterEndTime=10.074999999999996 LossValue=0.01951571108654794
IterStartTime=10.074999999999996 IterEndTime=10.087499999999995 LossValue=0.011487350431357917
IterStartTime=10.087499999999995 IterEndTime=10.099999999999994 LossValue=0.0061898145136766395
IterStartTime=10.099999999999994 IterEndTime=10.112499999999994 LossValue=0.002516415804210548
IterStartTime=10.112499999999994 IterEndTime=10.124999999999993 LossValue=-1.3267312686838714E-4
JobId=6 ArrivalTime=16.88825686173161 StartTime=18.0 EndTime=18.124999999999993 NumIters=10
IterStartTime=18.0 IterEndTime=18.0125 LossValue=0.8636309879198435
IterStartTime=18.0125 IterEndTime=18.025 LossValue=0.7369785307576874
IterStartTime=18.025 IterEndTime=18.037499999999998 LossValue=0.6193503052500983
IterStartTime=18.037499999999998 IterEndTime=18.049999999999997 LossValue=0.5101033175003921
IterStartTime=18.049999999999997 IterEndTime=18.062499999999996 LossValue=0.4086403881661872
IterStartTime=18.062499999999996 IterEndTime=18.074999999999996 LossValue=0.314406888084117
IterStartTime=18.074999999999996 IterEndTime=18.087499999999995 LossValue=0.2268877064875735
IterStartTime=18.087499999999995 IterEndTime=18.099999999999994 LossValue=0.14560443524477973
IterStartTime=18.099999999999994 IterEndTime=18.112499999999994 LossValue=0.070112753725325
