,experiment_id,start_time,running_time,num_gpus
20771,1665,0,143,1
20772,1665,0,143,1
20773,1665,0,139,1
20774,1665,0,139,1
20947,1767,13066,455,1
20961,1767,13066,603,1
20971,1767,13066,366,1
20972,1767,13066,366,1
20980,1767,13066,615,1
21013,1780,13066,319,1
21018,1780,13066,356,1
21028,1780,13066,606,1
21046,1780,13066,613,1
21051,1780,13066,146,1
21060,1780,13066,458,1
21076,1780,13066,367,1
21086,1780,13066,385,1
21092,1780,13066,340,1
21093,1780,13066,340,1
21098,1780,13066,236,1
21099,1780,13066,236,1
21114,1780,13066,385,1
21141,1781,13066,323,1
21151,1781,13066,225,1
21156,1781,13066,337,1
21163,1781,13066,339,1
21168,1781,13066,352,1
21170,1781,13066,383,1
21179,1781,13066,139,1
21191,1781,13066,137,1
21201,1781,13066,354,1
21212,1781,13066,337,1
21218,1781,13066,355,1
21220,1781,13066,456,1
21221,1781,13066,456,1
21226,1781,13066,483,1
21234,1781,13066,384,1
21236,1781,13066,339,1
21249,1781,13066,236,1
21251,1781,13066,226,1
21253,1781,13066,615,1
21259,1781,13066,453,1
21261,1781,13066,340,1
21276,1781,13066,222,1
21277,1781,13066,222,1
21289,1781,13066,615,1
21304,1782,13066,355,1
21305,1782,13066,355,1
21316,1782,13066,175,1
21327,1782,13066,354,1
21328,1782,13066,355,1
21334,1782,13066,355,1
21337,1782,13066,374,1
21338,1782,13066,607,1
21341,1782,13066,226,1
21346,1782,13066,226,1
21352,1782,13066,239,1
21353,1782,13066,239,1
21355,1782,13066,284,1
21359,1782,13066,963,1
21366,1782,13066,353,1
21382,1782,13066,354,1
21388,1782,13066,137,1
21395,1782,13066,179,1
21410,1782,13066,325,1
21418,1782,13066,339,1
21438,1783,13066,356,1
21451,1783,13066,139,1
21454,1783,13066,208,1
21455,1783,13066,334,1
21461,1783,13066,609,1
21465,1783,13066,326,1
21466,1783,13066,326,1
21470,1783,13066,333,1
21472,1783,13066,353,1
21475,1783,13066,450,1
21479,1783,13066,355,1
21482,1783,13066,387,1
21484,1783,13066,343,1
21496,1783,13066,353,1
21499,1783,13066,617,1
21504,1783,13066,230,1
21505,1783,13066,325,1
21513,1783,13066,353,1
21516,1783,13066,431,1
21517,1783,13066,450,1
21523,1783,13066,313,1
21532,1783,13066,174,1
21537,1783,13066,338,1
21547,1783,13066,169,1
21552,1783,13066,317,1
21553,1783,13066,413,1
21556,1783,13066,356,1
21563,1783,13066,168,1
21565,1783,13066,141,1
20882,1767,13067,609,1
20883,1767,13067,609,1
20901,1767,13067,608,1
20902,1767,13067,608,1
20908,1767,13067,344,1
20909,1767,13067,344,1
20910,1767,13067,611,1
20911,1767,13067,611,1
20915,1767,13067,378,1
20916,1767,13067,378,1
20922,1767,13067,619,1
20923,1767,13067,619,1
20948,1767,13067,455,1
20950,1767,13067,457,1
20951,1767,13067,457,1
20958,1767,13067,335,1
20962,1767,13067,603,1
20965,1767,13067,234,1
20966,1767,13067,234,1
20967,1767,13067,409,1
20968,1767,13067,409,1
20979,1767,13067,615,1
20986,1767,13067,609,1
20988,1767,13067,609,1
20989,1767,13067,609,1
20994,1767,13067,606,1
20995,1767,13067,606,1
21012,1780,13067,319,1
21014,1780,13067,336,1
21015,1780,13067,336,1
21016,1780,13067,338,1
21017,1780,13067,338,1
21019,1780,13067,356,1
21025,1780,13067,354,1
21026,1780,13067,354,1
21027,1780,13067,606,1
21030,1780,13067,253,1
21031,1780,13067,253,1
21034,1780,13067,386,1
21035,1780,13067,386,1
21036,1780,13067,344,1
21037,1780,13067,344,1
21038,1780,13067,337,1
21039,1780,13067,337,1
21040,1780,13067,324,1
21041,1780,13067,324,1
21044,1780,13067,231,1
21047,1780,13067,613,1
21049,1780,13067,242,1
21050,1780,13067,146,1
21055,1780,13067,609,1
21056,1780,13067,609,1
21058,1780,13067,451,1
21059,1780,13067,451,1
21061,1780,13067,458,1
21064,1780,13067,358,1
21065,1780,13067,358,1
21066,1780,13067,229,1
21067,1780,13067,229,1
21068,1780,13067,355,1
21069,1780,13067,355,1
21071,1780,13067,228,1
21072,1780,13067,614,1
21073,1780,13067,614,1
21075,1780,13067,367,1
21078,1780,13067,232,1
21079,1780,13067,232,1
21082,1780,13067,328,1
21083,1780,13067,328,1
21084,1780,13067,609,1
21085,1780,13067,609,1
21087,1780,13067,385,1
21096,1780,13067,147,1
21097,1780,13067,147,1
21100,1780,13067,232,1
21101,1780,13067,233,1
21102,1780,13067,233,1
21104,1780,13067,342,1
21105,1780,13067,342,1
21106,1780,13067,454,1
21107,1780,13067,454,1
21108,1780,13067,339,1
21109,1780,13067,339,1
21110,1780,13067,219,1
21111,1780,13067,219,1
21112,1780,13067,612,1
21113,1780,13067,612,1
21115,1780,13067,385,1
21116,1780,13067,455,1
21117,1780,13067,455,1
21123,1780,13067,337,1
21124,1780,13067,337,1
21127,1781,13067,610,1
21128,1781,13067,610,1
21130,1781,13067,340,1
21131,1781,13067,340,1
21134,1781,13067,340,1
21135,1781,13067,340,1
21139,1781,13067,454,1
21140,1781,13067,454,1
21142,1781,13067,323,1
21143,1781,13067,275,1
21144,1781,13067,275,1
21145,1781,13067,455,1
21146,1781,13067,455,1
21147,1781,13067,455,1
21148,1781,13067,455,1
21150,1781,13067,225,1
21157,1781,13067,337,1
21158,1781,13067,608,1
21159,1781,13067,608,1
21161,1781,13067,356,1
21162,1781,13067,356,1
21164,1781,13067,339,1
21165,1781,13067,317,1
21167,1781,13067,337,1
21169,1781,13067,352,1
21171,1781,13067,383,1
21173,1781,13067,333,1
21174,1781,13067,333,1
21180,1781,13067,139,1
21181,1781,13067,383,1
21182,1781,13067,383,1
21185,1781,13067,269,1
21186,1781,13067,269,1
21187,1781,13067,453,1
21188,1781,13067,453,1
21189,1781,13067,341,1
21190,1781,13067,341,1
21192,1781,13067,137,1
21198,1781,13067,355,1
21199,1781,13067,355,1
21200,1781,13067,354,1
21206,1781,13067,139,1
21207,1781,13067,170,1
21208,1781,13067,170,1
21210,1781,13067,415,1
21211,1781,13067,415,1
21213,1781,13067,337,1
21215,1781,13067,350,1
21216,1781,13067,350,1
21217,1781,13067,355,1
21224,1781,13067,336,1
21225,1781,13067,336,1
21227,1781,13067,483,1
21228,1781,13067,340,1
21229,1781,13067,340,1
21232,1781,13067,457,1
21233,1781,13067,457,1
21235,1781,13067,384,1
21237,1781,13067,339,1
21238,1781,13067,355,1
21239,1781,13067,355,1
21241,1781,13067,381,1
21242,1781,13067,381,1
21245,1781,13067,321,1
21246,1781,13067,321,1
21247,1781,13067,613,1
21248,1781,13067,613,1
21252,1781,13067,226,1
21254,1781,13067,615,1
21255,1781,13067,330,1
21260,1781,13067,453,1
21262,1781,13067,340,1
21263,1781,13067,383,1
21264,1781,13067,383,1
21268,1781,13067,168,1
21269,1781,13067,168,1
21270,1781,13067,353,1
21271,1781,13067,353,1
21272,1781,13067,234,1
21282,1781,13067,331,1
21283,1781,13067,331,1
21284,1781,13067,327,1
21285,1781,13067,327,1
21286,1781,13067,613,1
21287,1781,13067,613,1
21290,1781,13067,615,1
21291,1781,13067,354,1
21292,1781,13067,354,1
21295,1782,13067,452,1
21296,1782,13067,452,1
21298,1782,13067,234,1
21299,1782,13067,234,1
21300,1782,13067,617,1
21301,1782,13067,617,1
21306,1782,13067,225,1
21307,1782,13067,225,1
21309,1782,13067,607,1
21310,1782,13067,607,1
21311,1782,13067,610,1
21312,1782,13067,610,1
21313,1782,13067,280,1
21314,1782,13067,280,1
21315,1782,13067,175,1
21319,1782,13067,330,1
21320,1782,13067,330,1
21321,1782,13067,354,1
21322,1782,13067,354,1
21323,1782,13067,413,1
21324,1782,13067,413,1
21326,1782,13067,354,1
21329,1782,13067,355,1
21330,1782,13067,610,1
21331,1782,13067,610,1
21332,1782,13067,138,1
21333,1782,13067,138,1
21335,1782,13067,355,1
21336,1782,13067,374,1
21339,1782,13067,607,1
21342,1782,13067,226,1
21343,1782,13067,344,1
21344,1782,13067,344,1
21347,1782,13067,226,1
21350,1782,13067,614,1
21351,1782,13067,614,1
21354,1782,13067,284,1
21358,1782,13067,963,1
21360,1782,13067,337,1
21361,1782,13067,337,1
21362,1782,13067,356,1
21363,1782,13067,356,1
21365,1782,13067,353,1
21369,1782,13067,456,1
21370,1782,13067,456,1
21371,1782,13067,355,1
21372,1782,13067,355,1
21373,1782,13067,236,1
21374,1782,13067,236,1
21375,1782,13067,232,1
21376,1782,13067,232,1
21377,1782,13067,241,1
21378,1782,13067,241,1
21379,1782,13067,337,1
21380,1782,13067,337,1
21381,1782,13067,354,1
21383,1782,13067,326,1
21384,1782,13067,326,1
21385,1782,13067,169,1
21386,1782,13067,169,1
21389,1782,13067,137,1
21390,1782,13067,216,1
21391,1782,13067,216,1
21393,1782,13067,606,1
21394,1782,13067,606,1
21396,1782,13067,179,1
21397,1782,13067,619,1
21398,1782,13067,619,1
21401,1782,13067,607,1
21402,1782,13067,607,1
21403,1782,13067,234,1
21406,1782,13067,188,1
21407,1782,13067,188,1
21409,1782,13067,325,1
21411,1782,13067,611,1
21412,1782,13067,611,1
21414,1782,13067,225,1
21415,1782,13067,225,1
21416,1782,13067,612,1
21417,1782,13067,612,1
21419,1782,13067,339,1
21421,1782,13067,230,1
21422,1782,13067,230,1
21423,1782,13067,167,1
21424,1782,13067,141,1
21425,1782,13067,141,1
21427,1782,13067,334,1
21428,1782,13067,334,1
21429,1782,13067,173,1
21430,1782,13067,173,1
21431,1783,13067,239,1
21432,1783,13067,239,1
21437,1783,13067,356,1
21441,1783,13067,331,1
21442,1783,13067,331,1
21445,1783,13067,454,1
21446,1783,13067,454,1
21447,1783,13067,235,1
21448,1783,13067,229,1
21449,1783,13067,229,1
21450,1783,13067,139,1
21453,1783,13067,208,1
21456,1783,13067,334,1
21460,1783,13067,609,1
21462,1783,13067,382,1
21463,1783,13067,382,1
21467,1783,13067,230,1
21468,1783,13067,230,1
21469,1783,13067,332,1
21471,1783,13067,353,1
21473,1783,13067,231,1
21474,1783,13067,232,1
21476,1783,13067,450,1
21478,1783,13067,355,1
21480,1783,13067,223,1
21481,1783,13067,223,1
21483,1783,13067,387,1
21485,1783,13067,343,1
21486,1783,13067,342,1
21487,1783,13067,342,1
21489,1783,13067,185,1
21490,1783,13067,185,1
21491,1783,13067,334,1
21492,1783,13067,334,1
21495,1783,13067,353,1
21497,1783,13067,234,1
21498,1783,13067,234,1
21500,1783,13067,617,1
21501,1783,13067,223,1
21502,1783,13067,223,1
21503,1783,13067,230,1
21506,1783,13067,325,1
21507,1783,13067,458,1
21508,1783,13067,458,1
21509,1783,13067,612,1
21510,1783,13067,612,1
21511,1783,13067,227,1
21512,1783,13067,227,1
21514,1783,13067,353,1
21515,1783,13067,431,1
21518,1783,13067,450,1
21520,1783,13067,343,1
21521,1783,13067,343,1
21522,1783,13067,313,1
21527,1783,13067,322,1
21528,1783,13067,322,1
21529,1783,13067,233,1
21530,1783,13067,233,1
21531,1783,13067,174,1
21533,1783,13067,173,1
21534,1783,13067,173,1
21538,1783,13067,338,1
21541,1783,13067,351,1
21542,1783,13067,351,1
21544,1783,13067,453,1
21545,1783,13067,453,1
21548,1783,13067,169,1
21549,1783,13067,229,1
21550,1783,13067,229,1
21551,1783,13067,317,1
21554,1783,13067,413,1
21555,1783,13067,356,1
21557,1783,13067,173,1
21558,1783,13067,173,1
21561,1783,13067,223,1
21562,1783,13067,223,1
21564,1783,13067,168,1
21566,1783,13067,141,1
21153,1781,13067,131,1
21154,1781,13067,131,1
21118,1780,13069,337,1
21119,1780,13069,337,1
21121,1780,13069,613,1
21122,1780,13069,613,1
21196,1781,13069,612,1
21197,1781,13069,612,1
21203,1781,13069,336,1
21204,1781,13069,336,1
21222,1781,13070,617,1
21223,1781,13070,617,1
21193,1781,13070,453,1
21194,1781,13070,453,1
21243,1781,13070,452,1
21244,1781,13070,452,1
21256,1781,13070,357,1
21257,1781,13070,357,1
21266,1781,13071,611,1
21267,1781,13071,611,1
21280,1781,13073,609,1
21281,1781,13073,609,1
21175,1781,13074,354,1
21176,1781,13074,354,1
21278,1781,13075,381,1
21279,1781,13075,381,1
21178,1781,13081,139,1
21205,1781,13081,139,1
21166,1781,13081,317,1
21152,1781,13083,131,1
21202,1781,13083,336,1
21120,1780,13085,613,1
23362,1912,21823,337,1
23456,1913,21823,338,1
23467,1913,21823,339,1
23547,1914,21823,337,1
23565,1914,21823,345,1
23363,1912,21823,337,1
23455,1913,21823,338,1
23466,1913,21823,339,1
23532,1914,21823,336,1
23533,1914,21823,336,1
23546,1914,21823,337,1
23566,1914,21823,345,1
23587,1914,21823,341,1
